route,file,constRefs,literalRefs,signal
"/events/[id]","app/events/[id].tsx",6,0,strong
"/events/[id]/attendees","app/events/[id]/attendees.tsx",1,0,weak
"/events/[id]/rsvp","app/events/[id]/rsvp.tsx",0,0,orphan
"/events/create","app/events/create.tsx",2,1,strong
"/family","app/family/index.tsx",0,2,strong
"/family/[legacy]","app/family/[legacy].tsx",0,0,orphan
"/family/calendar","app/family/calendar.tsx",3,0,strong
"/family/sharing","app/family/sharing.tsx",0,1,weak
"/family/spending","app/family/spending.tsx",2,0,strong
"/favourites","app/favourites/index.tsx",0,0,orphan
"/goals","app/goals/index.tsx",1,1,strong
"/goals/[id]","app/goals/[id].tsx",2,0,strong
"/goals/create","app/goals/create.tsx",3,0,strong
"/group-sessions","app/group-sessions/index.tsx",3,5,strong
"/group-sessions/[id]","app/group-sessions/[id].tsx",8,0,strong
"/group-sessions/[id]/roster","app/group-sessions/[id]/roster.tsx",2,0,strong
"/group-sessions/create","app/group-sessions/create.tsx",3,0,strong
"/health","app/health/index.tsx",0,0,orphan
"/health/[id]","app/health/[id].tsx",2,0,strong
"/health/injuries","app/health/injuries.tsx",1,0,weak
"/health/log","app/health/log.tsx",2,0,strong
"/invites","app/invites.tsx",1,2,strong
"/invoices","app/invoices/index.tsx",0,0,orphan
"/invoices/[id]","app/invoices/[id].tsx",1,0,weak
"/manage","app/manage/index.tsx",3,2,strong
"/manage/[legacy]","app/manage/[legacy].tsx",0,0,orphan
"/manage/bookings","app/manage/bookings.tsx",1,0,weak
"/matches","app/matches/index.tsx",1,0,weak
"/matches/[id]","app/matches/[id].tsx",4,0,strong
"/matches/create","app/matches/create.tsx",3,1,strong
"/payments","app/payments/index.tsx",0,0,orphan
"/profile/[userId]","app/profile/[userId].tsx",2,0,strong
"/rate-coach","app/rate-coach.tsx",1,1,strong
"/referrals/invite","app/referrals/invite.tsx",0,0,orphan
"/review/[bookingId]","app/review/[bookingId].tsx",2,0,strong
"/review/create","app/review/create.tsx",1,0,weak
"/roster","app/roster/index.tsx",0,0,orphan
"/roster/[athleteId]","app/roster/[athleteId]/index.tsx",4,0,strong
"/roster/[athleteId]/add-to-session","app/roster/[athleteId]/add-to-session.tsx",4,0,strong
"/roster/[athleteId]/emergency","app/roster/[athleteId]/emergency.tsx",1,0,weak
"/roster/[athleteId]/raise-concern","app/roster/[athleteId]/raise-concern.tsx",3,0,strong
"/roster/consents","app/roster/consents.tsx",0,0,orphan
"/session-invites","app/session-invites/index.tsx",4,3,strong
"/session-invites/[id]","app/session-invites/[id].tsx",4,0,strong
"/session-invites/create","app/session-invites/create.tsx",3,0,strong
"/session-invites/group","app/session-invites/group.tsx",4,0,strong
"/session-notes/[bookingId]","app/session-notes/[bookingId].tsx",1,0,weak
"/session/[id]/complete","app/session/[id]/complete.tsx",2,0,strong
"/session/[id]/rsvp","app/session/[id]/rsvp.tsx",0,0,orphan
"/sessions/create","app/sessions/create.tsx",18,0,strong
"/settings","app/settings/index.tsx",2,6,strong
"/settings/account","app/settings/account.tsx",1,0,weak
"/settings/appearance","app/settings/appearance.tsx",1,0,weak
"/settings/blocked-dates","app/settings/blocked-dates.tsx",1,0,weak
"/settings/calendar-sync","app/settings/calendar-sync.tsx",1,0,weak
"/settings/cancellation-policy","app/settings/cancellation-policy.tsx",1,0,weak
"/settings/coaching","app/settings/coaching.tsx",0,0,orphan
"/settings/help","app/settings/help.tsx",1,0,weak
"/settings/notifications","app/settings/notifications/index.tsx",1,0,weak
"/settings/notifications/preferences","app/settings/notifications/preferences.tsx",0,0,orphan
"/settings/privacy","app/settings/privacy.tsx",1,0,weak
"/settings/privacy-policy","app/settings/privacy-policy.tsx",0,0,orphan
"/settings/smart-slots","app/settings/smart-slots.tsx",1,0,weak
"/settings/terms","app/settings/terms.tsx",0,0,orphan
