file,reachable_from_app,status,importer_count,importer_kinds
components/bookings/stats-grid.tsx,no,unreferenced,0,""
components/bookings/stats-quick-links.tsx,no,unreferenced,0,""
components/bookings/unified-booking-sections.tsx,yes,reachable,1,"component"
components/calendar/CalendarExportButton.tsx,yes,reachable,2,"app,component"
components/calendar/CalendarProviderSelect.tsx,yes,reachable,2,"app,component"
components/calendar/SyncSettingsCard.tsx,yes,reachable,2,"app,component"
components/celebration-overlay.tsx,yes,reachable,3,"app,component"
components/child/child-screen-state.tsx,yes,reachable,2,"app"
components/child/emergency-contact-card.tsx,yes,reachable,1,"app"
components/child/emergency-contact-form.tsx,yes,reachable,1,"app"
components/child/medical-consent-toggle.tsx,yes,reachable,1,"app"
components/child/medical-tag-input.tsx,yes,reachable,2,"app"
components/club/ClubHeader.tsx,yes,reachable,3,"app,component"
components/club/FeedPost.tsx,yes,reachable,3,"app,component"
components/club/JoinClubCard.tsx,yes,reachable,3,"app,component"
components/club/MatchesPanel.tsx,yes,reachable,2,"component"
components/club/MembersPanel.tsx,yes,reachable,3,"app,component"
components/club/SessionsPanel.tsx,yes,reachable,2,"component"
components/club/TeamsPanel.tsx,yes,reachable,1,"component"
components/club/branding-editor-sections.tsx,yes,reachable,1,"component"
components/club/branding-editor.tsx,yes,reachable,2,"component"
components/club/calendar-event-list.tsx,yes,reachable,1,"app"
components/club/calendar-grid.tsx,yes,reachable,1,"app"
components/club/calendar-squad-filter.tsx,yes,reachable,1,"app"
components/club/club-admin-actions.tsx,yes,reachable,1,"component"
components/club/club-dashboard-widgets.tsx,yes,reachable,1,"app"
components/club/club-detail-stats.tsx,yes,reachable,1,"app"
components/club/club-feed-filters.tsx,yes,reachable,1,"component"
components/club/club-feed-list-header.tsx,yes,reachable,1,"app"
components/club/club-header-menu.tsx,yes,reachable,1,"component"
components/club/club-no-membership.tsx,yes,reachable,1,"app"
components/club/club-stats-row.tsx,yes,reachable,1,"component"
components/club/invite-manual-tab.tsx,yes,reachable,1,"app"
components/club/invite-past-sessions-tab.tsx,yes,reachable,1,"app"
components/club/invite-role-selector.tsx,yes,reachable,1,"app"
components/club/member-danger-zone.tsx,yes,reachable,1,"app"
components/club/member-profile-card.tsx,yes,reachable,1,"app"
components/club/member-role-management.tsx,yes,reachable,1,"app"
components/club/member-squad-assignments.tsx,yes,reachable,1,"app"
components/club/sessions-panel-sections.tsx,yes,reachable,1,"component"
components/club/settings-branding-section.tsx,yes,reachable,1,"app"
components/club/settings-details-section.tsx,yes,reachable,1,"app"
components/club/settings-invites-section.tsx,yes,reachable,1,"app"
components/club/settings-members-section.tsx,yes,reachable,1,"app"
components/club/settings-squads-section.tsx,yes,reachable,1,"app"
components/club/training-attendance-card.tsx,yes,reachable,1,"app"
components/club/training-card.tsx,yes,reachable,1,"app"
components/club/upcoming-events-carousel.tsx,yes,reachable,1,"component"
components/club/weekly-calendar-view.tsx,yes,reachable,1,"app"
components/coach/analytics-screen-sections.tsx,yes,reachable,1,"component"
components/coach/analytics-screen.tsx,yes,reachable,1,"component"
components/coach/availability-grid-sections.tsx,yes,reachable,1,"component"
components/coach/availability-grid.tsx,yes,reachable,1,"component"
components/coach/availability-tutorial-sections.tsx,yes,reachable,1,"component"
components/coach/availability-tutorial.tsx,yes,reachable,1,"component"
components/coach/availability-week-grid-sections.tsx,yes,reachable,1,"component"
components/coach/availability-week-grid.tsx,yes,reachable,1,"component"
components/coach/block-date-modal.tsx,yes,reachable,1,"component"
components/coach/block-date-sections.tsx,yes,reachable,1,"component"
components/coach/coach-card-availability.tsx,yes,reachable,4,"component"
components/coach/coach-card-book-button.tsx,yes,reachable,2,"component"
components/coach/coach-card-compact.tsx,yes,reachable,1,"component"
components/coach/coach-card-cta-sections.tsx,yes,reachable,1,"component"
components/coach/coach-card-cta.tsx,yes,reachable,3,"component"
components/coach/coach-card-discovery.tsx,yes,reachable,1,"component"
components/coach/coach-card-favourite.tsx,yes,reachable,1,"component"
components/coach/coach-card-header.tsx,yes,reachable,4,"component"
components/coach/coach-card-reviews.tsx,yes,reachable,4,"component"
components/coach/coach-card-services-sections.tsx,yes,reachable,1,"component"
components/coach/coach-card-services.tsx,yes,reachable,4,"component"
components/coach/coach-card-shared.tsx,yes,reachable,4,"component"
components/coach/coach-card.tsx,yes,reachable,1,"component"
components/coach/coach-detail-about.tsx,yes,reachable,1,"app"
components/coach/coach-detail-hero.tsx,yes,reachable,1,"app"
components/coach/coach-detail-reviews.tsx,yes,reachable,2,"app,component"
components/coach/coach-detail-sessions.tsx,yes,reachable,1,"app"
components/coach/day-editor-sheet.tsx,yes,reachable,2,"app,hook"
components/coach/development-screen.tsx,yes,reachable,2,"app,component"
components/coach/development-sections.tsx,yes,reachable,1,"component"
components/coach/filter-panel-sections.tsx,yes,reachable,1,"component"
components/coach/filter-panel.tsx,yes,reachable,1,"component"
components/coach/invite-athlete-filters.tsx,yes,reachable,1,"component"
components/coach/invite-athlete-list.tsx,yes,reachable,1,"component"
components/coach/invite-athlete-modal.tsx,yes,reachable,2,"component"
components/coach/invite-session-flow.tsx,yes,reachable,1,"component"
components/coach/invite-session-steps.tsx,yes,reachable,1,"component"
components/coach/onboarding-checklist-sections.tsx,yes,reachable,1,"component"
components/coach/onboarding-checklist.tsx,yes,reachable,1,"component"
components/coach/profile-header-sections.tsx,yes,reachable,1,"component"
components/coach/profile-header.tsx,yes,reachable,2,"app,component"
components/coach/profile-post-card.tsx,yes,reachable,2,"app,component"
components/coach/profile-quick-actions-sections.tsx,yes,reachable,1,"component"
components/coach/profile-quick-actions.tsx,yes,reachable,2,"app,component"
components/coach/profile-tab-about.tsx,yes,reachable,1,"component"
components/coach/profile-tab-bar.tsx,yes,reachable,1,"component"
components/coach/profile-tab-posts.tsx,yes,reachable,1,"component"
components/coach/profile-tabs.tsx,yes,reachable,2,"app,component"
components/coach/public-profile-about.tsx,yes,reachable,1,"app"
components/coach/public-profile-credentials.tsx,yes,reachable,1,"app"
components/coach/public-profile-hero.tsx,yes,reachable,1,"app"
components/coach/public-profile-reviews.tsx,yes,reachable,1,"app"
components/coach/public-profile-specialties.tsx,yes,reachable,1,"app"
components/coach/recurring-template-modal.tsx,yes,reachable,1,"component"
components/coach/scheduling-rules-modal.tsx,yes,reachable,2,"app,component"
components/coach/scheduling-rules-sections.tsx,yes,reachable,1,"component"
components/coach/session-type-chips.tsx,yes,reachable,1,"component"
components/coach/session-type-modal-sections.tsx,yes,reachable,1,"component"
components/coach/session-type-modal.tsx,yes,reachable,1,"app"
components/coach/share-profile-sections.tsx,yes,reachable,1,"component"
components/coach/share-profile.tsx,yes,reachable,2,"app,component"
components/coach/template-day-section.tsx,yes,reachable,1,"component"
components/coach/template-options-section.tsx,yes,reachable,1,"component"
components/coach/template-time-section.tsx,yes,reachable,1,"component"
components/coach/time-off-confirm-step.tsx,yes,reachable,1,"component"
components/coach/time-off-form-step.tsx,yes,reachable,1,"component"
components/coach/time-off-remove-step.tsx,yes,reachable,1,"component"
components/coach/time-off-sheet.tsx,yes,reachable,2,"app,component"
components/coach/trial-discovery-preview.tsx,yes,reachable,2,"component"
components/coach/trial-session-editor-sections.tsx,yes,reachable,1,"component"
components/coach/trial-session-editor.tsx,yes,reachable,1,"component"
components/coach/week-pattern-grid.tsx,yes,reachable,1,"component"
components/coach/week-pattern-setup-mode.tsx,yes,reachable,1,"component"
components/coach/week-pattern-slot-row.tsx,yes,reachable,1,"component"
components/community/CreateGroupForm.tsx,yes,reachable,3,"app,component,hook"
components/community/ParentGroupCard-sections.tsx,yes,reachable,1,"component"
components/community/ParentGroupCard.tsx,yes,reachable,2,"component"
components/community/community-tab-content.tsx,yes,reachable,1,"app"
components/community/create-group-form-sections.tsx,yes,reachable,1,"component"
components/community/group-chat-header-sections.tsx,yes,reachable,1,"app"
components/community/group-chat-section-sections.tsx,yes,reachable,1,"component"
components/community/group-chat-section.tsx,yes,reachable,1,"app"
components/community/group-manage-tab.tsx,yes,reachable,1,"app"
components/community/group-members-modal-sections.tsx,yes,reachable,1,"component"
components/community/group-members-modal.tsx,yes,reachable,1,"app"
components/community/group-role-picker.tsx,yes,reachable,1,"app"
components/compare/CoachColumn-sections.tsx,yes,reachable,1,"component"
components/compare/CoachColumn.tsx,yes,reachable,2,"component"
components/compare/ComparisonTable.tsx,yes,reachable,3,"app,component"
components/consent/ConsentCard.tsx,yes,reachable,2,"app,component"
components/consent/ConsentFilter.tsx,yes,reachable,2,"app,component"
components/consent/ConsentGrid.tsx,yes,reachable,2,"component"
components/development/child-progress-stats.tsx,yes,reachable,1,"app"
components/development/coach-observation-modal.tsx,yes,reachable,1,"app"
components/development/dev-athlete-hero.tsx,yes,reachable,1,"app"
components/development/dev-progression-card.tsx,yes,reachable,1,"app"
components/development/dev-session-card.tsx,yes,reachable,1,"app"
components/development/dev-session-info.tsx,yes,reachable,1,"app"
components/development/dev-session-media.tsx,yes,reachable,1,"app"
components/development/dev-session-notes.tsx,yes,reachable,1,"app"
components/development/dev-session-ratings.tsx,yes,reachable,1,"app"
components/development/dev-session-skills.tsx,yes,reachable,1,"app"
components/development/dev-session-visibility.tsx,yes,reachable,1,"app"
components/development/dev-special-needs-card.tsx,yes,reachable,1,"app"
components/development/special-needs-accommodations.tsx,yes,reachable,1,"app"
components/development/special-needs-disabilities.tsx,yes,reachable,1,"app"
components/development/special-needs-hero.tsx,yes,reachable,1,"app"
